POCO,LATITUDE_BASE_4C,LONGITUDE_BASE_4C,LATITUDE_BASE_DD,LONGITUDE_BASE_DD,DATUM_HORIZONTAL,PROFUNDIDADE_SONDADOR_M,AGP
1-BRSA-201A-SPS,"-24:32:11,007","-44:20:01,586","-24,5363908","-44,3337739",SIRGAS2000,5563,Existe
1-BRSA-212-RJS,"-22:15:38,364","-39:49:06,272","-22,2606567","-39,8184089",SIRGAS2000,2657,Existe
1-BRSA-213-RJS,"-24:27:12,601","-40:47:41,576","-24,4535003","-40,7948822",SIRGAS2000,4433,Existe
1-BRSA-216-RJS,"-23:29:21,444","-41:14:17,513","-23,4892900","-41,2381981",SIRGAS2000,3145,Existe
1-BRSA-223-ESS,"-20:01:02,770","-39:33:03,639","-20,0174361","-39,5510108",SIRGAS2000,4710,Existe
1-BRSA-329D-RJS,"-25:03:43,868","-43:22:02,362","-25,0621856","-43,3673228",SIRGAS2000,7628,Existe
1-BRSA-458-ESS,"-21:38:39,618","-39:32:30,265","-21,6443383","-39,5417403",SIRGAS2000,6249,Existe
1-BRSA-491-SPS,"-25:34:48,546","-43:30:25,963","-25,5801517","-43,5072119",SIRGAS2000,5718,Existe
1-BRSA-498-SPS,"-25:33:44,780","-45:35:05,885","-25,5624389","-45,5849681",SIRGAS2000,5368,Existe
1-BRSA-532A-SPS,"-25:37:27,376","-43:54:19,626","-25,6242711","-43,9054517",SIRGAS2000,6773,Existe
1-BRSA-535A-ESS,"-20:25:13,171","-39:37:35,221","-20,4203253","-39,6264503",SIRGAS2000,5744,Existe
1-BRSA-553-RJS,"-22:53:47,947","-40:18:05,202","-22,8966519","-40,3014450",SIRGAS2000,5277,Existe
1-BRSA-606-ESS,"-21:01:28,149","-39:52:22,007","-21,0244858","-39,8727797",SIRGAS2000,4348,Existe
1-BRSA-60-SCS,"-26:58:11,934","-46:52:45,559","-26,9699817","-46,8793219",SIRGAS2000,5376,Existe
1-BRSA-617-SCS,"-27:06:33,265","-46:34:02,081","-27,1092403","-46,5672447",SIRGAS2000,5074,Existe
1-BRSA-618-RJS,"-24:59:11,878","-42:36:50,634","-24,9866328","-42,6140650",SIRGAS2000,6080,Existe
1-BRSA-642-SPS,"-24:54:27,729","-45:19:15,429","-24,9077025","-45,3209525",SIRGAS2000,5371,Existe
